Region,Event,Player,Team Abbreviated,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,CW,CP,KMax,K,D,A,FK,FD
International,Champions Tour 2024: Masters Madrid,tuyz,LOUD,LOUD,250,1.18,190.4,1.29,0.74,128,0.74,0.32,0.05,0.05,0.3,0.11,4/37,4,37,22,186,144,80,13,12
International,Champions Tour 2024: Masters Madrid,MiniBoo,TH,Team Heretics,130,1.16,245,1.24,0.77,153.6,0.88,0.28,0.17,0.14,0.31,0.25,3/12,3,12,25,114,92,37,22,18
International,Champions Tour 2024: Masters Madrid,RieNs,TH,Team Heretics,130,1.15,230.3,1.14,0.78,157.3,0.79,0.34,0.11,0.05,0.36,,0/22,0,22,22,103,90,44,14,7
International,Champions Tour 2024: Masters Madrid,zekken,SEN,Sentinels,421,1.13,259.5,1.21,0.74,167.1,0.9,0.21,0.23,0.19,0.22,0.17,5/30,5,30,32,381,314,90,96,81
International,Champions Tour 2024: Masters Madrid,johnqt,SEN,Sentinels,421,1.12,198.1,1.17,0.79,130.9,0.7,0.28,0.09,0.04,0.24,0.18,14/80,14,80,21,293,251,117,36,18
International,Champions Tour 2024: Masters Madrid,cauanzin,LOUD,LOUD,250,1.08,223.3,1.1,0.74,143.1,0.78,0.29,0.1,0.1,0.25,0.07,1/15,1,15,22,195,178,72,24,25
International,Champions Tour 2024: Masters Madrid,Munchkin,GEN,Gen.G,328,1.08,189.6,1.09,0.71,125.5,0.67,0.4,0.06,0.08,0.22,0.13,7/54,7,54,19,220,201,131,20,27
International,Champions Tour 2024: Masters Madrid,TenZ,SEN,Sentinels,421,1.07,208.2,1.05,0.77,131.2,0.75,0.54,0.09,0.08,0.29,0.27,8/30,8,30,25,314,300,226,36,32
International,Champions Tour 2024: Masters Madrid,Karon,GEN,Gen.G,328,1.05,207.3,1.06,0.74,140.4,0.74,0.36,0.1,0.06,0.29,0.16,7/45,7,45,20,242,229,119,32,19
International,Champions Tour 2024: Masters Madrid,something,PRX,Paper Rex,366,1.05,212.6,1.08,0.7,136.6,0.75,0.22,0.15,0.11,0.25,0.14,6/42,6,42,24,274,254,79,54,42
International,Champions Tour 2024: Masters Madrid,Meteor,GEN,Gen.G,328,1.05,230,1.14,0.73,152,0.82,0.19,0.12,0.13,0.29,0.13,3/24,3,24,22,268,236,61,40,41
International,Champions Tour 2024: Masters Madrid,t3xture,GEN,Gen.G,328,1.04,224.1,1.07,0.71,144.3,0.8,0.16,0.16,0.13,0.24,0.17,4/23,4,23,22,264,246,53,54,41
International,Champions Tour 2024: Masters Madrid,MAGNUM,KC,Karmine Corp,157,1.03,195.1,1,0.69,129.3,0.68,0.29,0.1,0.08,0.23,0.07,1/15,1,15,18,106,106,45,15,13
International,Champions Tour 2024: Masters Madrid,benjyfishy,TH,Team Heretics,130,1.03,216.8,1.12,0.72,140.4,0.78,0.23,0.11,0.09,0.29,0.13,2/15,2,15,24,101,90,30,14,12
International,Champions Tour 2024: Masters Madrid,saadhak,LOUD,LOUD,250,1.02,191.3,0.99,0.73,128.1,0.65,0.38,0.09,0.13,0.17,0.17,4/23,4,23,21,162,163,94,22,33
International,Champions Tour 2024: Masters Madrid,f0rsakeN,PRX,Paper Rex,366,1.02,216.5,1.02,0.69,140.4,0.75,0.36,0.12,0.1,0.3,0.2,5/25,5,25,25,273,268,132,44,38
International,Champions Tour 2024: Masters Madrid,marteen,KC,Karmine Corp,157,1.01,214.6,1.02,0.73,138.4,0.75,0.2,0.16,0.18,0.24,0.13,1/8,1,8,29,118,116,32,25,29
International,Champions Tour 2024: Masters Madrid,Zellsis,SEN,Sentinels,421,1.01,188.4,0.93,0.72,121.9,0.62,0.41,0.06,0.08,0.19,0.14,6/43,6,43,21,263,282,172,26,34
International,Champions Tour 2024: Masters Madrid,Autumn,FPX,FunPlus Phoenix,86,1,231.8,0.96,0.69,154.5,0.79,0.19,0.22,0.08,0.28,0.33,2/6,2,6,25,68,71,16,19,7
International,Champions Tour 2024: Masters Madrid,ZmjjKK,EDG,EDward Gaming,154,1,252,1.08,0.69,164.3,0.88,0.25,0.19,0.11,0.25,0.14,2/14,2,14,30,135,125,39,29,17
International,Champions Tour 2024: Masters Madrid,Smoggy,EDG,EDward Gaming,154,0.98,194.4,0.99,0.73,127.9,0.71,0.36,0.09,0.06,0.29,0.11,4/35,4,35,19,110,111,56,14,9
International,Champions Tour 2024: Masters Madrid,d4v41,PRX,Paper Rex,366,0.98,182.3,0.9,0.7,121.5,0.64,0.39,0.04,0.05,0.28,0.13,8/62,8,62,25,234,259,143,16,17
International,Champions Tour 2024: Masters Madrid,Sacy,SEN,Sentinels,421,0.97,173.8,0.86,0.73,113.6,0.59,0.4,0.06,0.09,0.24,0.1,5/49,5,49,23,249,289,169,25,38
International,Champions Tour 2024: Masters Madrid,sh1n,KC,Karmine Corp,157,0.97,178,0.98,0.81,109.9,0.64,0.36,0.06,0.06,0.3,0.11,3/28,3,28,21,101,103,56,9,10
International,Champions Tour 2024: Masters Madrid,Quick,LOUD,LOUD,250,0.96,218.5,1.03,0.67,140.6,0.77,0.16,0.16,0.15,0.31,0.19,3/16,3,16,27,193,187,39,41,38
International,Champions Tour 2024: Masters Madrid,Life,FPX,FunPlus Phoenix,86,0.92,230.8,1.04,0.64,157.6,0.83,0.12,0.15,0.15,0.39,0.33,3/9,3,9,25,71,68,10,13,13
International,Champions Tour 2024: Masters Madrid,Boo,TH,Team Heretics,130,0.9,162.3,0.87,0.68,104.4,0.61,0.36,0.04,0.12,0.32,0.12,2/17,2,17,15,79,91,47,5,16
International,Champions Tour 2024: Masters Madrid,Monyet,PRX,Paper Rex,366,0.89,199.6,0.87,0.66,129.9,0.68,0.3,0.12,0.17,0.24,0.19,7/36,7,36,24,250,289,110,45,64
International,Champions Tour 2024: Masters Madrid,nobody,EDG,EDward Gaming,154,0.88,173.1,0.82,0.66,124.1,0.6,0.26,0.07,0.16,0.33,0.11,2/18,2,18,20,92,112,40,11,25
International,Champions Tour 2024: Masters Madrid,Lakia,GEN,Gen.G,328,0.86,153.1,0.78,0.68,104.1,0.54,0.27,0.06,0.09,0.24,0.32,9/28,9,28,19,177,228,87,21,31
International,Champions Tour 2024: Masters Madrid,CHICHOO,EDG,EDward Gaming,154,0.85,169,0.81,0.66,119.6,0.6,0.23,0.07,0.07,0.29,,0/23,0,23,23,93,115,36,11,11
International,Champions Tour 2024: Masters Madrid,paTiTek,TH,Team Heretics,130,0.84,149.8,0.65,0.71,100.1,0.47,0.48,0.09,0.08,0.16,,0/7,0,7,14,61,94,63,12,10
International,Champions Tour 2024: Masters Madrid,mindfreak,PRX,Paper Rex,366,0.84,162.8,0.84,0.66,108.4,0.59,0.23,0.03,0.1,0.37,0.04,2/49,2,49,21,217,258,83,12,35
International,Champions Tour 2024: Masters Madrid,Lysoar,FPX,FunPlus Phoenix,86,0.82,152.8,0.72,0.57,110.8,0.51,0.2,0.06,0.05,0.3,,0/17,0,17,15,44,61,17,5,4
International,Champions Tour 2024: Masters Madrid,tomaszy,KC,Karmine Corp,157,0.8,138.7,0.66,0.63,98.5,0.46,0.29,0.04,0.09,0.32,0.27,4/15,4,15,15,73,110,46,7,14
International,Champions Tour 2024: Masters Madrid,Haodong,EDG,EDward Gaming,154,0.79,152.3,0.72,0.69,110.2,0.54,0.27,0.06,0.1,0.27,0.36,4/11,4,11,19,83,115,41,10,16
International,Champions Tour 2024: Masters Madrid,BerLIN,FPX,FunPlus Phoenix,86,0.76,150,0.7,0.65,99,0.53,0.31,0.13,0.13,0.36,0.08,1/12,1,12,14,46,66,27,11,11
